id,title,estimatedValue,entity_id,procurement_type_id,procurement_type,entity,sector,deadline,financial_year
89483,SUPPLY OF FLEXIBLE SINGLE CORE CABLES (EARTH WIRE) AND COPPER EARTH RODS FOR WPD REPAIRS AND MAINTENANCE USE UNDER RESERVATION SCHEME.,7434000,433.0,1.0,Supplies,National Water & Sewerage Corporation,Water and Environment,2024-11-01 00:00:00,2023-2024
91630,DESIGN AND BUILD OF A 100M3 COLD PRESSED STEEL TANK AT 16M STEEL TOWER TANK STAND FOR MIREMBE VILLAS,194974940,433.0,3.0,Works,National Water & Sewerage Corporation,Water and Environment,2024-10-11 00:00:00,2023-2024
91168,Supply of Fuel and Lubricants using Electrical fuel cards under framework contract for 18months,9237505200,433.0,1.0,Supplies,National Water & Sewerage Corporation,Water and Environment,2024-09-03 00:00:00,2023-2024
91169,Supply of Fuel and Lubricants using Electrical fuel cards under framework contract for 18months,9568092200,433.0,1.0,Supplies,National Water & Sewerage Corporation,Water and Environment,2024-09-03 00:00:00,2023-2024
91450,Procurement Of URA Data Lake Solution,12000000000,478.0,2.0,Non-Consultancy Services,Uganda Revenue Authority,Accountability,2024-08-23 00:00:00,2023-2024
91458,Provision of Preventive Maintenance and Repair of Power House Equipment at URA Headquarter and various OSBPS under Framework Contract - Retender,302906000,478.0,2.0,Non-Consultancy Services,Uganda Revenue Authority,Accountability,2024-08-14 00:00:00,2023-2024
91063,"Provision of Upgrade, Support and Maintenance of Disaster Recovery WEB Application Firewall",650000000,478.0,2.0,Non-Consultancy Services,Uganda Revenue Authority,Accountability,2024-08-07 00:00:00,2023-2024
91528,Supply of a 20ft corten steel shipping container for inventory department-WPD Under Reservation Scheme,19204500,433.0,1.0,Supplies,National Water & Sewerage Corporation,Water and Environment,2024-08-06 00:00:00,2023-2024
91725,Supply of painting materials for steel tank repairs,24400000,433.0,1.0,Supplies,National Water & Sewerage Corporation,Water and Environment,2024-08-05 00:00:00,2023-2024
91369,Supply of repair materials for Panyangara 58m3 reservoir Kotido under the reservation scheme,22976000,433.0,1.0,Supplies,National Water & Sewerage Corporation,Water and Environment,2024-08-05 00:00:00,2023-2024
90953,Provision of Aerobics Services under Framework Contract - Retender,80000000,478.0,2.0,Non-Consultancy Services,Uganda Revenue Authority,Accountability,2024-08-02 00:00:00,2023-2024
91322,Provision of Office Space for Rukungiri DT Station,88000000,478.0,2.0,Non-Consultancy Services,Uganda Revenue Authority,Accountability,2024-07-31 00:00:00,2023-2024
91218,Provision of Preventive Maintenance and Servicing of URA Tower HVAC Equipment under Framework Contract,163005200,478.0,2.0,Non-Consultancy Services,Uganda Revenue Authority,Accountability,2024-07-26 00:00:00,2023-2024
91321,Modification of a scanner approach at Malaba OSBP,33000000,478.0,3.0,Works,Uganda Revenue Authority,Accountability,2024-07-25 00:00:00,2023-2024
90957,"Provision of Catering Services for URA Staff based at Malaba, Malaba and Busia under Framework Contract",686400000,478.0,2.0,Non-Consultancy Services,Uganda Revenue Authority,Accountability,2024-07-24 00:00:00,2023-2024
91756,SUPPLY OF GLASS SHEETS FOR WPD,13000000,433.0,1.0,Supplies,National Water & Sewerage Corporation,Water and Environment,2024-07-23 00:00:00,2023-2024
91324,Partitioning works for the extension of Compliance Office,54929000,478.0,3.0,Works,Uganda Revenue Authority,Accountability,2024-07-23 00:00:00,2023-2024
91388,Supply of Ventilators for Pump and Pump House Plants-WPD,19260000,433.0,1.0,Supplies,National Water & Sewerage Corporation,Water and Environment,2024-07-23 00:00:00,2023-2024
90367,"Supply of Tyres, Batteries and Lubricants under Framework Contract for a period of Eighteen (18) months",1800000000,698.0,1.0,Supplies,UGANDA NATIONAL COUNCIL OF SCIENCE & TECHNOLOGY,ICT and National Guidance,2024-07-19 00:00:00,2023-2024
90854,Supply and Installation of Generators,166184238,467.0,1.0,Supplies,Insurance Regulatory Authority,"Lands, Housing and Urban Development",2024-07-18 00:00:00,2023-2024
91407,Provision of cleaning services for the communications house for one year,54000000,458.0,2.0,Non-Consultancy Services,Uganda Communications Commission,ICT and National Guidance,2024-07-17 00:00:00,2023-2024
91187,PROTECTIVE WEAR FOR STAFF,20915000,433.0,1.0,Supplies,National Water & Sewerage Corporation,Water and Environment,2024-07-16 00:00:00,2023-2024
91131,"Supply Of Promotional Items (Branded gift bags, note books and gift pack set) For The Executive Office",19750000,478.0,1.0,Supplies,Uganda Revenue Authority,Accountability,2024-07-15 00:00:00,2023-2024
91132,"Supply Of Promotional Items (Branded gift bags, note books and gift pack set) For The Executive Office",13500000,478.0,1.0,Supplies,Uganda Revenue Authority,Accountability,2024-07-15 00:00:00,2023-2024
91135,Supply Of Promotional Items (Branded Laptop Bags) for Executive Office,6250000,478.0,1.0,Supplies,Uganda Revenue Authority,Accountability,2024-07-15 00:00:00,2023-2024
91451,Provision of Hotel and Hospitality Services under Framework Contract,2000000,478.0,2.0,Non-Consultancy Services,Uganda Revenue Authority,Accountability,2024-07-12 00:00:00,2023-2024
91092,Supply and Installation of tents at Padea Customs - Retender,9200000,478.0,1.0,Supplies,Uganda Revenue Authority,Accountability,2024-07-12 00:00:00,2023-2024
91607,Supply of a 20Ft  Corten Steel Shipping Container for Inventory Department Under Reservation Scheme.,192024500,433.0,1.0,Supplies,National Water & Sewerage Corporation,Water and Environment,2024-07-11 00:00:00,2023-2024
90454,Provision of catering services under framework,27381900,26.0,2.0,Non-Consultancy Services,Electricity Regulatory Authority,Energy and Mineral Development,2024-07-10 00:00:00,2023-2024
91402,Supply and delivery of commvault backup Licenses and support for UCC for two (2) years,76000000,458.0,1.0,Supplies,Uganda Communications Commission,ICT and National Guidance,2024-07-09 00:00:00,2023-2024
91139,Supply of Ryobi Cleaning Cloth,6696500,674.0,1.0,Supplies,NEW VISION PRINTING & PUBLISHING,Public Administration,2024-07-08 00:00:00,2023-2024
91728,Supply & Delivery of 2 Units of Double Cabin Pick Ups,500000000,739.0,1.0,Supplies,Pride Microfinance Limited,Interest Payments,2024-07-08 00:00:00,2023-2024
91345,Modification works for head office Block D,236788368,739.0,3.0,Works,Pride Microfinance Limited,Interest Payments,2024-07-08 00:00:00,2023-2024
91912,Supply and delivery of aggregated stones for Namanve TPP,17321456,461.0,1.0,Supplies,Uganda Electricity Generation Company,Energy and Mineral Development,2024-07-05 00:00:00,2023-2024
90955,"Provision of Support, Maintenance and Upgrade of the checkpoint unified Management Solution",2650000000,478.0,2.0,Non-Consultancy Services,Uganda Revenue Authority,Accountability,2024-07-05 00:00:00,2023-2024
90291,Supply and Installation of a Multi-functioning Kitchen for the EDIC in Kiruhura District,862000000,698.0,1.0,Supplies,UGANDA NATIONAL COUNCIL OF SCIENCE & TECHNOLOGY,ICT and National Guidance,2024-07-05 00:00:00,2023-2024
91913,Supply and delivery of communication sensor cables for Namanve Thermal Power Plant,28322000,461.0,1.0,Supplies,Uganda Electricity Generation Company,Energy and Mineral Development,2024-07-04 00:00:00,2023-2024
91153,"SUPPLY AND INSTALLATION OF 80M3 ZINC-ALUM WATER RESERVOIR TANK AT NYARWASHAMA FOR BH No.06 (CoU) KIBANDA-KAMWEZI,RUKIGA AREA UNDER RESERVATION SCHEME",96000000,433.0,3.0,Works,National Water & Sewerage Corporation,Water and Environment,2024-07-04 00:00:00,2023-2024
90387,Supply of Motor cycles ,18100000,467.0,1.0,Supplies,Insurance Regulatory Authority,"Lands, Housing and Urban Development",2024-07-03 00:00:00,2023-2024
90388,Supply of Motor cycles ,18100000,467.0,1.0,Supplies,Insurance Regulatory Authority,"Lands, Housing and Urban Development",2024-07-03 00:00:00,2023-2024
90901,SUPPLY AND INSTALLATION OF A 266M3 ZINC ALUM STEEL TANK AT MORUKATIPE IN TORORO AREA- UNDER RESERVATION SCHEME,250000000,433.0,3.0,Works,National Water & Sewerage Corporation,Water and Environment,2024-07-03 00:00:00,2023-2024
91018,"DRILLING, DEVELOPMENT AND CONSTRUCTION OF PRODUCTION BOREHOLES IN BUKEDEA (01) AND KOTIDO (01) UNDER LOTS 1&2",155000000,433.0,3.0,Works,National Water & Sewerage Corporation,Water and Environment,2024-07-03 00:00:00,2023-2024
91102,ICT Equipment for the Office Of IGP and DIGP,72699800,713.0,1.0,Supplies,UGANDA POLICE FORCE,"Justice, Law and Order",2024-07-03 00:00:00,2023-2024
91170,"SUPPLY OF VERTICAL MOUNTED, MULTISTAGE PUMP COMPLETE WITH MOTOR AND SOFT STARTER PANEL, COUPLINGS 350, 16 RUBBER BUFFERS, AND STAINLESS-STEEL SOLID ROUND BARS FOR RUBAGA BOOSTER, MUYENGA 06 PUMP GABAII – WPD, - UNDER RESERVATION SCHEME",200000000,433.0,1.0,Supplies,National Water & Sewerage Corporation,Water and Environment,2024-07-02 00:00:00,2023-2024
91171,"SUPPLY OF ASSORTED FITTINGS FOR O&M, NETWORK DEPARTMENT, AND BRANCH OPERATIONS - UNDER RESERVATION SCHEME",258683700,433.0,1.0,Supplies,National Water & Sewerage Corporation,Water and Environment,2024-07-02 00:00:00,2023-2024
91711,SUPPLY OF SPARE F180 COUPLINGS FOR MUYENGA PUMPS,16000000,433.0,1.0,Supplies,National Water & Sewerage Corporation,Water and Environment,2024-07-02 00:00:00,2023-2024
91750,SUPPLY OF COMMUNICATION RADIO MODEM FOR RESERVOIRS & BOOSTER STATIONS UNDER RTU NETWORK-GABA,29112000,433.0,1.0,Supplies,National Water & Sewerage Corporation,Water and Environment,2024-07-02 00:00:00,2023-2024
91008,SUPPLY OF ASSORTED FUSES FOR REPLACEMENT IN NAMASUBA PUMP 03- WPD,21000000,433.0,1.0,Supplies,National Water & Sewerage Corporation,Water and Environment,2024-07-02 00:00:00,2023-2024
91011,SUPPLY OF COMMUNICATION RADIOMODEM FOR RESERVOIRS & BOOSTERS,29112000,433.0,1.0,Supplies,National Water & Sewerage Corporation,Water and Environment,2024-07-02 00:00:00,2023-2024
91015,SUPPLY & INSTALLATION OF ELECTRONIC CARD SPARE PART FOR SDMO-genset AT KATOSI,126000000,433.0,1.0,Supplies,National Water & Sewerage Corporation,Water and Environment,2024-07-02 00:00:00,2023-2024
91020,Supply of compressor standby for Gaba 3 clarifiers under reservation scheme,15000000,433.0,1.0,Supplies,National Water & Sewerage Corporation,Water and Environment,2024-07-02 00:00:00,2023-2024
91118,SUPPLY OF A DIGITAL EARTH MEGGER FOR EARTH RESISTANCE MEASURING IN KATOSI,14000000,433.0,1.0,Supplies,National Water & Sewerage Corporation,Water and Environment,2024-07-02 00:00:00,2023-2024
